年 コード,年 補助コード,年,業種（2008年～） コード,業種（2008年～） 補助コード,業種,/表章項目,給与所得者数(３月末)【人】,給与所得者数(６月末)【人】,給与所得者数(９月末)【人】,給与所得者数(１２月末)【人】,給与所得者数(年間月平均)【人】,給与額(総額)【百万円】,給与額(平均)【千円】,税額(総額)【百万円】,税額(平均)【千円】
2024000000,,2024年,1,,建設業,,"4,351,722","4,373,762","4,380,107","4,410,627","4,379,054","22,204,663","5,071","1,081,217",247
2024000000,,2024年,2,,製造業,,"9,654,826","9,749,855","9,708,170","9,721,741","9,708,648","50,607,310","5,213","2,323,753",239
2024000000,,2024年,3,,卸売業，小売業,,"9,653,766","9,719,211","9,762,671","9,804,400","9,735,012","33,227,424","3,413","1,382,709",142
2024000000,,2024年,4,,宿泊業，飲食サービス業,,"3,465,172","3,517,933","3,569,534","3,641,841","3,548,620","5,972,556","1,683","140,670",40
2024000000,,2024年,5,,金融業，保険業,,"1,344,127","1,355,088","1,349,830","1,343,970","1,348,254","9,192,729","6,818","644,803",478
2024000000,,2024年,6,,不動産業，物品賃貸業,,"1,518,184","1,588,941","1,535,752","1,548,046","1,547,731","6,500,307","4,200","477,783",309
2024000000,,2024年,7,,運輸業，郵便業,,"3,229,114","3,244,972","3,238,708","3,249,514","3,240,577","13,955,449","4,306","450,228",139
2024000000,,2024年,8,,電気･ガス･熱供給・水道業,,"206,045","212,307","211,639","209,742","209,933","1,721,470","8,200","120,974",576
2024000000,,2024年,9,,情報通信業,,"2,173,159","2,260,038","2,228,817","2,268,257","2,232,568","13,641,790","6,110","751,754",337
2024000000,,2024年,10,,学術研究，専門・技術サービス業，教育，学習支援業,,"3,523,607","3,637,130","3,588,439","3,700,998","3,612,543","15,320,509","4,241","839,310",232
2024000000,,2024年,11,,医療，福祉,,"9,295,108","9,401,400","9,363,974","9,418,999","9,369,870","33,356,508","3,560","1,661,788",177
2024000000,,2024年,12,,複合サービス事業,,"1,202,951","1,187,526","1,181,392","1,211,160","1,195,757","4,534,573","3,792","104,105",87
2024000000,,2024年,13,,サービス業,,"9,370,988","9,448,346","9,492,906","9,643,613","9,488,963","29,744,135","3,135","1,149,593",121
2024000000,,2024年,14,,農林水産・鉱業,,"551,686","585,937","530,168","601,238","567,257","1,459,390","2,573","54,684",96
2024000000,,2024年,15,,合計,,"59,540,455","60,282,444","60,142,108","60,774,146","60,184,788","241,438,813","4,012","11,183,370",186
2023000000,,2023年,1,,建設業,,"4,255,241","4,280,728","4,292,437","4,307,694","4,284,025","21,348,619","4,983","1,132,918",264
2023000000,,2023年,2,,製造業,,"10,077,372","10,196,858","10,157,956","10,146,735","10,144,730","50,646,940","4,992","2,496,651",246
2023000000,,2023年,3,,卸売業，小売業,,"9,868,735","9,705,076","9,754,810","10,128,143","9,864,191","31,688,302","3,212","1,495,682",152
2023000000,,2023年,4,,宿泊業，飲食サービス業,,"3,089,884","3,881,658","3,238,028","3,331,832","3,385,351","5,093,007","1,504","142,824",42
2023000000,,2023年,5,,金融業，保険業,,"1,520,568","1,515,648","1,507,764","1,498,128","1,510,527","9,161,535","6,065","638,068",422
2023000000,,2023年,6,,不動産業，物品賃貸業,,"1,335,131","1,357,432","1,340,181","1,334,995","1,341,935","5,694,569","4,244","464,530",346
2023000000,,2023年,7,,運輸業，郵便業,,"3,455,123","3,470,544","3,475,404","3,496,716","3,474,447","14,556,478","4,190","551,223",159
2023000000,,2023年,8,,電気･ガス･熱供給・水道業,,"175,135","177,936","175,811","175,150","176,008","1,380,165","7,841","90,515",514
2023000000,,2023年,9,,情報通信業,,"2,337,628","2,440,701","2,400,156","2,434,744","2,403,308","14,564,828","6,060","899,278",374
2023000000,,2023年,10,,学術研究，専門・技術サービス業，教育，学習支援業,,"3,137,885","3,228,369","3,177,044","3,292,955","3,209,063","13,558,715","4,225","818,947",255
2023000000,,2023年,11,,医療，福祉,,"8,922,701","9,036,040","9,019,052","9,087,569","9,016,340","30,766,115","3,412","1,779,558",197
2023000000,,2023年,12,,複合サービス事業,,"1,022,012","1,008,545","1,001,785","1,029,372","1,015,428","3,105,833","3,059","138,329",136
2023000000,,2023年,13,,サービス業,,"9,641,918","9,760,697","9,821,425","9,880,244","9,776,071","29,957,987","3,064","1,304,048",133
2023000000,,2023年,14,,農林水産・鉱業,,"524,520","528,672","532,901","538,212","531,076","1,384,119","2,606","53,545",101
2023000000,,2023年,15,,合計,,"59,363,852","60,588,904","59,894,756","60,682,490","60,132,500","232,907,214","3,873","12,006,114",200
2022000000,,2022年,1,,建設業,,"4,397,188","4,447,531","4,437,431","4,435,648","4,429,450","21,627,143","4,883","1,063,768",240
2022000000,,2022年,2,,製造業,,"10,249,429","10,378,902","10,346,507","10,341,771","10,329,152","51,766,638","5,012","2,562,115",248
2022000000,,2022年,3,,卸売業，小売業,,"9,416,485","9,369,581","9,390,580","9,429,049","9,401,424","30,235,136","3,216","1,398,521",149
2022000000,,2022年,4,,宿泊業，飲食サービス業,,"2,760,097","2,859,995","2,926,600","2,969,283","2,878,994","4,591,772","1,595","130,253",45
2022000000,,2022年,5,,金融業，保険業,,"1,522,429","1,465,885","1,462,459","1,449,983","1,475,189","8,710,740","5,905","626,429",425
2022000000,,2022年,6,,不動産業，物品賃貸業,,"1,386,897","1,398,053","1,397,987","1,399,157","1,395,523","5,787,558","4,147","513,280",368
2022000000,,2022年,7,,運輸業，郵便業,,"3,510,300","3,501,379","3,484,254","3,518,027","3,503,490","13,854,804","3,955","508,538",145
2022000000,,2022年,8,,電気･ガス･熱供給・水道業,,"186,889","198,523","194,734","195,410","193,889","1,474,599","7,605","94,436",487
2022000000,,2022年,9,,情報通信業,,"2,226,400","2,308,612","2,272,762","2,385,523","2,298,324","13,264,951","5,772","793,020",345
2022000000,,2022年,10,,学術研究，専門・技術サービス業，教育，学習支援業,,"3,046,733","3,163,092","3,085,829","3,201,001","3,124,164","13,121,428","4,200","766,099",245
2022000000,,2022年,11,,医療，福祉,,"8,823,438","9,589,542","8,939,307","8,988,700","9,085,247","30,971,660","3,409","1,823,901",201
2022000000,,2022年,12,,複合サービス事業,,"999,397","986,455","948,074","979,970","978,474","3,460,216","3,536","94,054",96
2022000000,,2022年,13,,サービス業,,"9,554,776","9,706,171","9,652,665","9,757,163","9,667,694","30,666,723","3,172","1,578,404",163
2022000000,,2022年,14,,農林水産・鉱業,,"594,388","598,420","605,939","616,123","603,717","1,730,642","2,867","89,576",148
2022000000,,2022年,15,,合計,,"58,674,844","59,972,141","59,145,129","59,666,808","59,364,731","231,264,008","3,896","12,042,393",203
